VehV,SteeringAg,LatA,YawRate,LgtA,WhlFx_FL,WhlFx_RL,WhlFx_FR,WhlFx_RR
58.94,0.138866002407101,0.001,0.165879995038989,0.017,117,117,181,164
58.99,0.138866002407101,0.001,0.317459990505652,0.016,117,100,164,181
58.85,0.138866002407101,0,0.417559987511939,0.015,134,117,181,198
58.9,0.138866002407101,-0.003,0.51479998460376,0.014,174,149,198,236
58.95,0.148022002565811,-0.01,0.612039981695582,0.015,194,130,213,213
58.99,0.148022002565811,-0.024,0.612039981695582,0.017,168,109,193,193
59.04,0.148022002565811,-0.029,0.563419983149671,0.018,153,136,184,184
59.04,0.148022002565811,-0.014,0.51479998460376,0.019,136,119,197,159
59.09,0.148022002565811,0.005,0.417559987511939,0.018,116,91,184,184
59.09,0.148022002565811,0.012,0.417559987511939,0.016,94,119,172,210
59.14,0.148022002565811,0.006,0.51479998460376,0.014,74,138,190,224
59.18,0.148022002565811,0.006,0.612039981695582,0.013,100,159,214,214
59.21,0.138866002407101,0.008,0.712139978701868,0.011,122,139,228,194
59.07,0.138866002407101,0.006,0.81509997562262,0.009,139,139,246,176
59.12,0.138866002407101,0.002,0.863719974168531,0.009,156,139,224,190
59.17,0.138866002407101,0.003,0.915199972628907,0.009,156,139,239,239
59.19,0.138866002407101,0.002,0.863719974168531,0.011,173,114,222,256
59.19,0.138866002407101,-0.004,0.81509997562262,0.012,198,139,204,274
59.05,0.138866002407101,-0.004,0.76647997707671,0.012,173,156,222,256
59.1,0.138866002407101,0.006,0.712139978701868,0.011,156,173,240,278
59.13,0.138866002407101,0.014,0.663519980155958,0.009,139,198,259,259
59.18,0.138866002407101,0.018,0.663519980155958,0.007,114,173,242,242
59.04,0.138866002407101,0.012,0.663519980155958,0.006,139,173,219,219
59.09,0.138866002407101,0.006,0.663519980155958,0.006,156,156,197,197
59.14,0.148022002565811,0.011,0.612039981695582,0.008,170,136,213,174
59.19,0.148022002565811,0.024,0.612039981695582,0.008,195,111,235,197
59.24,0.148022002565811,0.029,0.663519980155958,0.008,170,136,253,219
59.1,0.138866002407101,0.021,0.76647997707671,0.008,153,153,275,237
59.15,0.131236002274843,0.017,0.76647997707671,0.008,136,170,252,252
59.01,0.10987200190452,0.018,0.76647997707671,0.006,111,195,233,271
59.06,0.0976640016929063,0.026,0.81509997562262,0.005,136,215,255,294
59.11,0.0747740012961314,0.029,0.863719974168531,0.005,151,195,233,271
59.15,0.0595140010316148,0.022,0.915199972628907,0.005,170,170,209,243
59.01,0.0366240006348399,0.012,0.915199972628907,0.005,195,151,187,225
59.06,0.0244160004232266,0,0.81509997562262,0.005,167,133,206,206
59.08,0.00915600015870996,-0.001,0.76647997707671,0.006,149,105,225,187
58.94,-0.00305200005290332,0.005,0.712139978701868,0.007,130,105,240,206
58.99,-0.0152600002645166,0.008,0.663519980155958,0.007,100,125,223,223
59.04,-0.0274680004761299,0.01,0.663519980155958,0.007,80,144,206,240
59.09,-0.0366240006348399,0.005,0.663519980155958,0.006,100,159,223,223
58.95,-0.0442540007670982,0,0.612039981695582,0.006,125,142,237,203
59,-0.0564620009787114,-0.002,0.612039981695582,0.007,142,159,255,185
59.05,-0.0564620009787114,-0.003,0.612039981695582,0.007,165,190,282,209
58.91,-0.0656180011374214,0.002,0.466179986057849,0.006,190,165,262,224
58.96,-0.0656180011374214,0.011,0.263119992130811,0.005,159,142,234,234
59.01,-0.0656180011374214,0.008,0.165879995038989,0.004,136,119,208,246
58.87,-0.0656180011374214,0.003,0.114399996578613,0.004,116,91,190,224
58.92,-0.0656180011374214,0.003,0.114399996578613,0.005,136,119,168,206
58.97,-0.0656180011374214,0.007,0.0657799980327027,0.007,109,126,131,170
59.02,-0.0656180011374214,0.008,0.0142999995723267,0.008,126,109,151,151
58.88,-0.0656180011374214,0.001,-0.034319998973584,0.008,106,123,164,164
58.93,-0.0656180011374214,-0.013,-0.188759994354712,0.007,123,140,184,184
58.98,-0.0564620009787114,-0.025,-0.285999991446533,0.007,143,168,204,204
59.03,-0.0503580008729048,-0.028,-0.285999991446533,0.005,123,140,223,185
58.89,-0.0503580008729048,-0.021,-0.237379992900623,0.002,143,143,207,173
